#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Staphylococcus aureus,CFSA153,19988,SAMN06698111 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123665.1 ,2.75904,32.8,-,NDRB01,38,2840,2723,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/665/GCF_002123665.1_ASM212366v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/665/GCA_002123665.1_ASM212366v1
Staphylococcus aureus,CFSA148,19988,SAMN06698106 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123695.1 ,2.82797,32.8,-,NDRG01,56,2940,2811,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/695/GCF_002123695.1_ASM212369v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/695/GCA_002123695.1_ASM212369v1
Staphylococcus aureus,CFSA147,19988,SAMN06698105 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123715.1 ,2.78877,32.8,-,NDRH01,48,2863,2747,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/715/GCF_002123715.1_ASM212371v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/715/GCA_002123715.1_ASM212371v1
Staphylococcus aureus,CFSA144,19988,SAMN06698102 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123735.1 ,2.80227,32.8,-,NDRK01,49,2875,2762,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/735/GCF_002123735.1_ASM212373v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/735/GCA_002123735.1_ASM212373v1
Staphylococcus aureus,CFSA145,19988,SAMN06698103 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123745.1 ,2.80871,32.7,-,NDRJ01,67,2895,2772,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/745/GCF_002123745.1_ASM212374v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/745/GCA_002123745.1_ASM212374v1
Staphylococcus aureus,CFSA142,19988,SAMN06698100 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123775.1 ,2.85182,32.7,-,NDRM01,63,2951,2823,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/775/GCF_002123775.1_ASM212377v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/775/GCA_002123775.1_ASM212377v1
Staphylococcus aureus,CFSA143,19988,SAMN06698101 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123785.1 ,2.83746,32.6,-,NDRL01,60,2937,2819,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/785/GCF_002123785.1_ASM212378v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/785/GCA_002123785.1_ASM212378v1
Staphylococcus aureus,CFSA141,19988,SAMN06698099 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123795.1 ,2.81923,32.8,-,NDRN01,90,2959,2761,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/795/GCF_002123795.1_ASM212379v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/795/GCA_002123795.1_ASM212379v1
Staphylococcus aureus,CFSA140,19988,SAMN06698098 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123805.1 ,2.758,32.7,-,NDRO01,29,2872,2740,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/805/GCF_002123805.1_ASM212380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/805/GCA_002123805.1_ASM212380v1
Staphylococcus aureus,CFSA139,19988,SAMN06698097 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123855.1 ,2.73602,32.7,-,NDRP01,38,2860,2703,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/855/GCF_002123855.1_ASM212385v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/855/GCA_002123855.1_ASM212385v1
Staphylococcus aureus,CFSA136,19988,SAMN06698094 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123865.1 ,2.84596,32.7,-,NDRS01,80,2992,2802,2017/5/10,2017/5/23,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/865/GCF_002123865.1_ASM212386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/865/GCA_002123865.1_ASM212386v1
Staphylococcus aureus,CFSA135,19988,SAMN06698093 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123875.1 ,2.83935,32.7,-,NDRT01,77,2964,2851,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/875/GCF_002123875.1_ASM212387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/875/GCA_002123875.1_ASM212387v1
Staphylococcus aureus,CFSA134,19988,SAMN06698092 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123885.1 ,2.68968,32.8,-,NDRU01,36,2740,2625,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/885/GCF_002123885.1_ASM212388v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/885/GCA_002123885.1_ASM212388v1
Staphylococcus aureus,CFSA132,19988,SAMN06698091 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123935.1 ,2.74203,32.7,-,NDRV01,38,2827,2723,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/935/GCF_002123935.1_ASM212393v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/935/GCA_002123935.1_ASM212393v1
Staphylococcus aureus,CFSA118,19988,SAMN06698089 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123955.1 ,2.79314,32.8,-,NDRX01,96,2880,2759,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/955/GCF_002123955.1_ASM212395v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/955/GCA_002123955.1_ASM212395v1
Staphylococcus aureus,CFSA119,19988,SAMN06698090 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123965.1 ,2.88323,32.6,-,NDRW01,132,3019,2889,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/965/GCF_002123965.1_ASM212396v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/965/GCA_002123965.1_ASM212396v1
Staphylococcus aureus,CFSA117,19988,SAMN06698088 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002123985.1 ,2.82665,32.8,-,NDRY01,84,2936,2805,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/123/985/GCF_002123985.1_ASM212398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/123/985/GCA_002123985.1_ASM212398v1
Staphylococcus aureus,CFSA115,19988,SAMN06698086 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124015.1 ,2.88139,32.6,-,NDSA01,120,3026,2895,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/015/GCF_002124015.1_ASM212401v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/015/GCA_002124015.1_ASM212401v1
Staphylococcus aureus,CFSA111,19988,SAMN06698082 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124055.1 ,2.85193,32.6,-,NDSE01,98,2978,2868,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/055/GCF_002124055.1_ASM212405v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/055/GCA_002124055.1_ASM212405v1
Staphylococcus aureus,CFSA105,19988,SAMN06698076 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124065.1 ,2.87587,32.6,-,NDSK01,85,3003,2881,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/065/GCF_002124065.1_ASM212406v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/065/GCA_002124065.1_ASM212406v1
Staphylococcus aureus,CFSA104,19988,SAMN06698075 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124095.1 ,2.86198,32.7,-,NDSL01,61,2985,2843,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/095/GCF_002124095.1_ASM212409v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/095/GCA_002124095.1_ASM212409v1
Staphylococcus aureus,CFSA103,19988,SAMN06698074 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124105.1 ,2.92086,32.6,-,NDSM01,72,3070,2951,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/105/GCF_002124105.1_ASM212410v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/105/GCA_002124105.1_ASM212410v1
Staphylococcus aureus,CFSA098,19988,SAMN06698071 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124135.1 ,2.77277,32.8,-,NDSP01,59,2873,2748,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/135/GCF_002124135.1_ASM212413v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/135/GCA_002124135.1_ASM212413v1
Staphylococcus aureus,CFSA102,19988,SAMN06698073 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124145.1 ,2.77734,32.8,-,NDSN01,71,2857,2735,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/145/GCF_002124145.1_ASM212414v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/145/GCA_002124145.1_ASM212414v1
Staphylococcus aureus,CFSA101,19988,SAMN06698072 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124155.1 ,2.82519,32.8,-,NDSO01,106,2943,2790,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/155/GCF_002124155.1_ASM212415v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/155/GCA_002124155.1_ASM212415v1
Staphylococcus aureus,CFSA096,19988,SAMN06698069 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124195.1 ,2.92486,32.6,-,NDSR01,58,3073,2951,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/195/GCF_002124195.1_ASM212419v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/195/GCA_002124195.1_ASM212419v1
Staphylococcus aureus,CFSA090,19988,SAMN06698063 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124215.1 ,2.71658,32.7,-,NDSX01,60,2767,2655,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/215/GCF_002124215.1_ASM212421v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/215/GCA_002124215.1_ASM212421v1
Staphylococcus aureus,CFSA094,19988,SAMN06698067 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124225.1 ,2.87433,32.7,-,NDST01,48,3006,2863,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/225/GCF_002124225.1_ASM212422v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/225/GCA_002124225.1_ASM212422v1
Staphylococcus aureus,CFSA093,19988,SAMN06698066 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124245.1 ,2.77615,32.8,-,NDSU01,76,2874,2736,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/245/GCF_002124245.1_ASM212424v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/245/GCA_002124245.1_ASM212424v1
Staphylococcus aureus,CFSA089,19988,SAMN06698062 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124265.1 ,2.73451,32.8,-,NDSY01,61,2801,2618,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/265/GCF_002124265.1_ASM212426v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/265/GCA_002124265.1_ASM212426v1
Staphylococcus aureus,CFSA088,19988,SAMN06698061 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124295.1 ,2.79127,32.8,-,NDSZ01,53,2890,2756,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/295/GCF_002124295.1_ASM212429v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/295/GCA_002124295.1_ASM212429v1
Staphylococcus aureus,CFSA087,19988,SAMN06698060 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124315.1 ,2.83471,32.7,-,NDTA01,68,2922,2805,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/315/GCF_002124315.1_ASM212431v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/315/GCA_002124315.1_ASM212431v1
Staphylococcus aureus,CFSA086,19988,SAMN06698059 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124325.1 ,2.73759,32.8,-,NDTB01,37,2792,2649,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/325/GCF_002124325.1_ASM212432v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/325/GCA_002124325.1_ASM212432v1
Staphylococcus aureus,CFSA085,19988,SAMN06698058 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124355.1 ,2.82251,32.8,-,NDTC01,111,2932,2796,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/355/GCF_002124355.1_ASM212435v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/355/GCA_002124355.1_ASM212435v1
Staphylococcus aureus,CFSA226,19988,SAMN06698168 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124365.1 ,2.8791,32.6,-,NDOW01,79,3013,2884,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/365/GCF_002124365.1_ASM212436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/365/GCA_002124365.1_ASM212436v1
Staphylococcus aureus,CFSA222,19988,SAMN06698164 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124395.1 ,2.88119,32.6,-,NDPA01,57,3004,2887,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/395/GCF_002124395.1_ASM212439v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/395/GCA_002124395.1_ASM212439v1
Staphylococcus aureus,CFSA225,19988,SAMN06698167 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124405.1 ,2.78061,32.7,-,NDOX01,83,2895,2737,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/405/GCF_002124405.1_ASM212440v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/405/GCA_002124405.1_ASM212440v1
Staphylococcus aureus,CFSA221,19988,SAMN06698163 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124435.1 ,2.8104,32.8,-,NDPB01,75,2880,2749,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/435/GCF_002124435.1_ASM212443v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/435/GCA_002124435.1_ASM212443v1
Staphylococcus aureus,CFSA217,19988,SAMN06698159 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124455.1 ,2.92029,32.6,-,NDPF01,67,3060,2924,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/455/GCF_002124455.1_ASM212445v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/455/GCA_002124455.1_ASM212445v1
Staphylococcus aureus,CFSA215,19988,SAMN06698157 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124475.1 ,2.84413,32.6,-,NDPH01,56,2950,2836,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/475/GCF_002124475.1_ASM212447v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/475/GCA_002124475.1_ASM212447v1
Staphylococcus aureus,CFSA209,19988,SAMN06698151 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124485.1 ,2.8321,32.6,-,NDPN01,59,2945,2829,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/485/GCF_002124485.1_ASM212448v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/485/GCA_002124485.1_ASM212448v1
Staphylococcus aureus,CFSA205,19988,SAMN06698147 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124515.1 ,2.83364,32.6,-,NDPR01,52,2940,2825,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/515/GCF_002124515.1_ASM212451v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/515/GCA_002124515.1_ASM212451v1
Staphylococcus aureus,CFSA204,19988,SAMN06698146 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124535.1 ,2.74522,32.7,-,NDPS01,62,2814,2632,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/535/GCF_002124535.1_ASM212453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/535/GCA_002124535.1_ASM212453v1
Staphylococcus aureus,CFSA203,19988,SAMN06698145 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124555.1 ,2.7291,32.8,-,NDPT01,37,2821,2651,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/555/GCF_002124555.1_ASM212455v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/555/GCA_002124555.1_ASM212455v1
Staphylococcus aureus,CFSA201,19988,SAMN06698143 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124565.1 ,2.75317,32.8,-,NDPV01,57,2836,2661,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/565/GCF_002124565.1_ASM212456v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/565/GCA_002124565.1_ASM212456v1
Staphylococcus aureus,CFSA198,19988,SAMN06698140 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124595.1 ,2.85796,32.7,-,NDPY01,126,3029,2822,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/595/GCF_002124595.1_ASM212459v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/595/GCA_002124595.1_ASM212459v1
Staphylococcus aureus,CFSA195,19988,SAMN06698137 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124615.1 ,2.78683,32.8,-,NDQB01,58,2890,2748,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/615/GCF_002124615.1_ASM212461v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/615/GCA_002124615.1_ASM212461v1
Staphylococcus aureus,CFSA197,19988,SAMN06698139 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124625.1 ,2.87484,32.6,-,NDPZ01,83,3003,2875,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/625/GCF_002124625.1_ASM212462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/625/GCA_002124625.1_ASM212462v1
Staphylococcus aureus,CFSA194,19988,SAMN06698136 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124655.1 ,2.88012,32.6,-,NDQC01,83,3017,2898,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/655/GCF_002124655.1_ASM212465v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/655/GCA_002124655.1_ASM212465v1
Staphylococcus aureus,CFSA171,19988,SAMN06698129 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124675.1 ,2.71788,32.7,-,NDQJ01,49,2804,2652,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/675/GCF_002124675.1_ASM212467v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/675/GCA_002124675.1_ASM212467v1
Staphylococcus aureus,CFSA169,19988,SAMN06698127 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124685.1 ,2.92609,32.6,-,NDQL01,85,3071,2955,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/685/GCF_002124685.1_ASM212468v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/685/GCA_002124685.1_ASM212468v1
Staphylococcus aureus,CFSA167,19988,SAMN06698125 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124695.1 ,2.7696,32.8,-,NDQN01,70,2806,2688,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/695/GCF_002124695.1_ASM212469v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/695/GCA_002124695.1_ASM212469v1
Staphylococcus aureus,CFSA166,19988,SAMN06698124 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124735.1 ,2.87922,32.6,-,NDQO01,54,3006,2887,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/735/GCF_002124735.1_ASM212473v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/735/GCA_002124735.1_ASM212473v1
Staphylococcus aureus,CFSA164,19988,SAMN06698122 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124755.1 ,2.89274,32.7,-,NDQQ01,71,3035,2921,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/755/GCF_002124755.1_ASM212475v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/755/GCA_002124755.1_ASM212475v1
Staphylococcus aureus,CFSA165,19988,SAMN06698123 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124765.1 ,2.87967,32.6,-,NDQP01,59,3007,2889,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/765/GCF_002124765.1_ASM212476v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/765/GCA_002124765.1_ASM212476v1
Staphylococcus aureus,CFSA159,19988,SAMN06698117 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124775.1 ,2.78931,32.8,-,NDQV01,72,2871,2743,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/775/GCF_002124775.1_ASM212477v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/775/GCA_002124775.1_ASM212477v1
Staphylococcus aureus,CFSA158,19988,SAMN06698116 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124815.1 ,2.81576,32.7,-,NDQW01,71,2941,2748,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/815/GCF_002124815.1_ASM212481v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/815/GCA_002124815.1_ASM212481v1
Staphylococcus aureus,CFSA156,19988,SAMN06698114 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124835.1 ,2.71964,32.7,-,NDQY01,59,2783,2611,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/835/GCF_002124835.1_ASM212483v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/835/GCA_002124835.1_ASM212483v1
Staphylococcus aureus,CFSA155,19988,SAMN06698113 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124855.1 ,2.80929,32.6,-,NDQZ01,64,2928,2783,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/855/GCF_002124855.1_ASM212485v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/855/GCA_002124855.1_ASM212485v1
Staphylococcus aureus,CFSA152,19988,SAMN06698110 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124865.1 ,2.71827,32.8,-,NDRC01,27,2785,2631,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/865/GCF_002124865.1_ASM212486v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/865/GCA_002124865.1_ASM212486v1
Staphylococcus aureus,CFSA151,19988,SAMN06698109 ,PRJNA380429,Terrabacteria group,Firmicutes,GCA_002124895.1 ,2.84196,32.6,-,NDRD01,141,2957,2824,2017/5/10,2017/5/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/124/895/GCF_002124895.1_ASM212489v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/124/895/GCA_002124895.1_ASM212489v1
